District,Year,Yield_q_ha
Aligarh,2010,35.5
Aligarh,2011,37.7
Aligarh,2012,34.7
Aligarh,2013,36.0
Aligarh,2014,24.5
Aligarh,2015,32.8
Aligarh,2016,39.8
Aligarh,2017,43.0
Aligarh,2018,42.699999999999996
Aligarh,2019,41.2
Aligarh,2020,41.8
Aligarh,2021,41.900000000000006
Aligarh,2022,42.0
Amritsar,2010,42.9
Amritsar,2011,49.699999999999996
Amritsar,2012,46.5
Amritsar,2013,49.699999999999996
Amritsar,2014,39.1
Amritsar,2015,44.800000000000004
Amritsar,2016,49.5
Amritsar,2017,48.7
Amritsar,2018,48.099999999999994
Amritsar,2019,45.300000000000004
Amritsar,2020,47.599999999999994
Amritsar,2021,44.5
Amritsar,2022,47.9
Bathinda,2010,46.1
Bathinda,2011,50.0
Bathinda,2012,47.9
Bathinda,2013,49.6
Bathinda,2014,48.0
Bathinda,2015,46.8
Bathinda,2016,53.0
Bathinda,2017,53.0
Bathinda,2018,56.0
Bathinda,2019,54.2
Bathinda,2020,49.5
Bathinda,2021,44.1
Bathinda,2022,49.5
Hanumangarh,2010,38.199999999999996
Hanumangarh,2011,36.2
Hanumangarh,2012,37.8
Hanumangarh,2013,35.699999999999996
Hanumangarh,2014,34.8
Hanumangarh,2015,40.0
Hanumangarh,2016,40.300000000000004
Hanumangarh,2017,44.1
Hanumangarh,2018,48.8
Hanumangarh,2019,46.8
Hanumangarh,2020,43.099999999999994
Hanumangarh,2021,41.5
Hanumangarh,2022,45.8
Hisar,2010,46.3
Hisar,2011,51.0
Hisar,2012,42.599999999999994
Hisar,2013,44.800000000000004
Hisar,2014,41.8
Hisar,2015,46.5
Hisar,2016,47.599999999999994
Hisar,2017,49.1
Hisar,2018,49.6
Hisar,2019,45.599999999999994
Hisar,2020,49.699999999999996
Hisar,2021,46.4
Hisar,2022,49.900000000000006
Karnal,2010,44.5
Karnal,2011,56.8
Karnal,2012,46.8
Karnal,2013,49.1
Karnal,2014,40.5
Karnal,2015,34.4
Karnal,2016,52.1
Karnal,2017,49.2
Karnal,2018,56.4
Karnal,2019,48.5
Karnal,2020,51.8
Karnal,2021,51.0
Karnal,2022,53.8
Ludhiana,2010,49.6
Ludhiana,2011,53.7
Ludhiana,2012,48.5
Ludhiana,2013,52.199999999999996
Ludhiana,2014,44.6
Ludhiana,2015,46.7
Ludhiana,2016,50.9
Ludhiana,2017,51.4
Ludhiana,2018,51.3
Ludhiana,2019,51.0
Ludhiana,2020,49.699999999999996
Ludhiana,2021,42.800000000000004
Ludhiana,2022,45.9
Meerut,2010,40.8
Meerut,2011,42.1
Meerut,2012,41.3
Meerut,2013,42.9
Meerut,2014,32.2
Meerut,2015,40.9
Meerut,2016,43.6
Meerut,2017,43.6
Meerut,2018,46.6
Meerut,2019,45.599999999999994
Meerut,2020,45.7
Meerut,2021,41.8
Meerut,2022,42.800000000000004
Muzaffarnagar,2010,33.8
Muzaffarnagar,2011,39.300000000000004
Muzaffarnagar,2012,36.5
Muzaffarnagar,2013,37.1
Muzaffarnagar,2014,28.1
Muzaffarnagar,2015,35.699999999999996
Muzaffarnagar,2016,41.7
Muzaffarnagar,2017,39.900000000000006
Muzaffarnagar,2018,42.5
Muzaffarnagar,2019,39.8
Muzaffarnagar,2020,43.4
Muzaffarnagar,2021,39.6
Muzaffarnagar,2022,44.0
Panipat,2010,46.1
Panipat,2011,55.599999999999994
Panipat,2012,46.0
Panipat,2013,49.0
Panipat,2014,35.8
Panipat,2015,49.3
Panipat,2016,51.1
Panipat,2017,51.900000000000006
Panipat,2018,52.199999999999996
Panipat,2019,47.5
Panipat,2020,49.400000000000006
Panipat,2021,46.3
Panipat,2022,44.699999999999996
Patiala,2010,48.3
Patiala,2011,54.699999999999996
Patiala,2012,48.0
Patiala,2013,49.699999999999996
Patiala,2014,43.9
Patiala,2015,45.9
Patiala,2016,51.6
Patiala,2017,52.699999999999996
Patiala,2018,54.699999999999996
Patiala,2019,47.699999999999996
Patiala,2020,49.699999999999996
Patiala,2021,38.8
Patiala,2022,49.1
Saharanpur,2010,30.0
Saharanpur,2011,34.8
Saharanpur,2012,33.9
Saharanpur,2013,34.7
Saharanpur,2014,20.5
Saharanpur,2015,33.6
Saharanpur,2016,37.599999999999994
Saharanpur,2017,38.9
Saharanpur,2018,42.199999999999996
Saharanpur,2019,38.9
Saharanpur,2020,41.6
Saharanpur,2021,40.7
Saharanpur,2022,41.7
Sri_Ganganagar,2010,44.5
Sri_Ganganagar,2011,39.6
Sri_Ganganagar,2012,38.6
Sri_Ganganagar,2013,41.7
Sri_Ganganagar,2014,36.5
Sri_Ganganagar,2015,37.8
Sri_Ganganagar,2016,39.6
Sri_Ganganagar,2017,40.4
Sri_Ganganagar,2018,41.8
Sri_Ganganagar,2019,46.6
Sri_Ganganagar,2020,43.9
Sri_Ganganagar,2021,43.099999999999994
Sri_Ganganagar,2022,43.9
