Feature,Correlation,Abs_Correlation,P_value,Significant
flowering_tmax_mean,0.16773968904828032,0.16773968904828032,0.029264787492546265,Yes
flowering_day_night_diff,0.12857549806503663,0.12857549806503663,0.09571371101136941,No
flowering_rainfall_total,-0.16567834651208105,0.16567834651208105,0.031339620261180506,Yes
flowering_extreme_heat_days,,,,No
grain_filling_tmax_mean,0.18647384411512136,0.18647384411512136,0.015203298255517873,Yes
grain_filling_day_night_diff,0.05040379156085141,0.05040379156085141,0.5151755739054054,No
grain_filling_rainfall_total,-0.07314722538454506,0.07314722538454506,0.3445959300802883,No
grain_filling_extreme_heat_days,0.19110068322712015,0.19110068322712015,0.012815624245859775,Yes
maturation_tmax_mean,0.15382938736200436,0.15382938736200436,0.045842382139234826,Yes
maturation_day_night_diff,0.12547355486360812,0.12547355486360812,0.1040601676846564,No
maturation_rainfall_total,-0.1929129391041804,0.1929129391041804,0.01197412825387397,Yes
maturation_extreme_heat_days,0.20573677582534305,0.20573677582534305,0.0072856495218097655,Yes
